sqft_living,bathrooms,bedrooms,floors,yr_built,price
1540,1.0,2.0,1.0,1946,615000.0
2090,2.75,3.0,2.0,2012,403000.0
3160,2.5,5.0,1.0,1971,980000.0
1730,1.75,4.0,1.0,1977,258000.0
1670,1.0,3.0,1.0,1967,533000.0
2550,2.5,4.0,2.0,2005,537500.0
3040,3.0,5.0,1.0,1968,830000.0
1250,1.0,3.0,1.5,1900,712000.0
2020,2.5,4.0,2.0,2002,262000.0
2660,2.5,4.0,2.0,2003,753888.0
980,1.5,2.0,2.0,1922,134000.0
1960,2.5,3.0,1.0,1977,402000.0
720,1.0,2.0,1.0,1955,205000.0
1360,2.5,2.0,2.0,1997,553650.0
1870,2.0,2.0,1.0,2006,559950.0
2130,1.5,4.0,1.0,1962,260000.0
1810,2.5,4.0,2.0,1994,270000.0
2200,1.75,2.0,1.0,1973,295000.0
1690,2.5,3.0,1.5,1928,719000.0
1940,2.5,3.0,1.0,1989,266000.0
2320,2.5,4.0,2.0,2004,325900.0
2060,1.75,4.0,1.0,1947,647500.0
3410,1.0,4.0,2.0,1910,1039000.0
2250,2.25,4.0,2.0,1980,569000.0
1390,1.75,3.0,1.0,1975,246000.0
1060,1.0,2.0,1.0,1926,515000.0
1490,1.0,3.0,1.0,1954,207000.0
2480,1.75,4.0,1.0,1950,780000.0
2440,2.25,5.0,1.5,1975,489990.0
2240,1.5,3.0,1.5,1980,335000.0
1920,2.5,3.0,2.0,1993,295000.0
1890,1.75,3.0,1.0,1944,385000.0
2250,1.75,4.0,1.0,1940,350000.0
1270,1.0,2.0,1.0,1923,235000.0
960,1.5,2.0,2.0,1993,358000.0
3290,2.5,4.0,2.0,2002,716500.0
2000,1.75,4.0,1.0,1965,228000.0
1020,1.0,2.0,1.0,1948,405000.0
1840,1.75,4.0,1.0,1967,538000.0
1980,1.75,3.0,1.0,1973,530000.0
1230,1.75,2.0,1.5,1925,636000.0
2280,2.5,4.0,2.0,2004,535000.0
2920,2.5,3.0,3.0,2008,868500.0
2280,2.75,4.0,1.5,1930,530000.0
1510,2.0,3.0,1.0,1954,450000.0
950,1.75,3.0,1.0,1939,230000.0
1190,2.5,3.0,2.0,2002,229000.0
1310,1.75,3.0,1.0,1976,437000.0
1750,2.5,3.0,2.0,1991,595000.0
1320,1.75,3.0,1.5,1918,660000.0
2460,2.5,4.0,2.0,1989,347500.0
1240,2.0,3.0,1.0,1967,297950.0
1260,1.5,3.0,1.0,1955,245000.0
2820,2.25,6.0,1.5,1940,543200.0
1540,2.5,3.0,3.0,2008,413450.0
1550,2.0,2.0,1.5,1972,330000.0
1460,1.75,3.0,1.0,1979,424500.0
1390,1.0,3.0,1.0,1960,230000.0
2640,3.25,3.0,2.0,1912,930000.0
1590,1.75,3.0,1.0,1988,349000.0
1910,2.0,4.0,1.5,1941,835000.0
2015,2.75,3.0,2.0,2007,988500.0
1410,1.75,3.0,3.0,2012,500000.0
1110,1.5,2.0,2.0,2005,499000.0
860,1.25,2.0,2.0,2007,321950.0
2310,2.5,3.0,2.0,2011,494000.0
1020,1.5,2.0,3.0,2008,441750.0
980,1.0,2.0,2.0,2010,438000.0
4230,2.25,4.0,2.0,1989,985000.0
1640,2.25,3.0,1.0,1972,352000.0
3810,3.5,4.0,1.0,2013,839900.0
2790,2.75,4.0,2.0,1996,765000.0
1750,1.75,4.0,1.5,1926,460000.0
1430,1.0,4.0,1.5,1983,224500.0
1850,2.5,3.0,2.0,2003,254000.0
960,1.0,2.0,1.0,1984,255000.0
2480,3.0,3.0,1.0,1976,610000.0
3750,3.0,4.0,2.0,1976,920000.0
2600,2.5,4.0,2.0,1988,402500.0
1390,1.75,3.0,1.0,1912,280950.0
2260,2.5,4.0,2.0,1989,604000.0
2470,2.25,4.0,2.0,1984,565000.0
810,1.0,2.0,1.0,1928,255000.0
1650,2.0,4.0,1.0,1959,445000.0
720,1.0,2.0,1.0,1950,195000.0
1390,1.5,3.0,1.0,1922,275000.0
1445,2.25,3.0,2.0,2003,387000.0
1840,1.0,2.0,1.5,1910,490000.0
2100,2.5,3.0,2.0,1999,505000.0
1060,1.5,3.0,1.0,1973,303500.0
1500,1.5,3.0,1.0,1953,270000.0
1970,2.75,4.0,1.0,1977,323000.0
1410,3.25,3.0,3.0,2005,382000.0
2190,2.0,4.0,1.0,1977,280000.0
1920,2.0,3.0,1.0,1969,260000.0
1160,1.0,3.0,1.0,1959,201500.0
2000,1.75,4.0,1.5,1926,536500.0
2163,3.0,4.0,2.0,2006,248000.0
3480,3.0,5.0,1.0,1976,532000.0
2840,2.5,4.0,2.0,1998,580000.0
1150,1.0,2.0,1.0,1905,463000.0
3100,2.75,4.0,2.0,1919,742500.0
1420,2.5,3.0,1.0,1963,260000.0
2430,2.25,4.0,1.0,1993,590000.0
1930,2.25,4.0,1.0,1984,312000.0
1660,2.25,3.0,1.0,1980,566000.0
1400,2.0,3.0,1.0,1963,511555.0
2660,2.5,4.0,2.0,2001,583000.0
2000,2.5,4.0,1.0,1968,290000.0
2130,2.25,4.0,1.0,1977,311100.0
1352,2.25,3.0,3.0,2007,325000.0
1750,1.75,3.0,1.0,1987,491300.0
2320,1.75,5.0,1.0,1956,315000.0
1420,1.0,2.0,1.0,1956,360000.0
1940,2.5,4.0,2.0,2003,330000.0
1410,2.0,3.0,1.0,1940,481450.0
1360,1.0,3.0,1.0,1977,234950.0
1220,1.75,3.0,1.0,1962,251000.0
2830,2.5,4.0,2.0,1979,782000.0
3780,2.75,4.0,2.0,1999,833000.0
2330,2.5,4.0,2.0,1978,542500.0
3560,2.5,3.0,2.0,1987,851000.0
1470,1.5,4.0,1.0,1976,325000.0
3060,2.25,4.0,2.0,1992,415000.0
1030,1.0,3.0,1.0,1947,252500.0
1930,2.5,4.0,1.0,1968,465000.0
1780,1.75,3.0,1.0,1979,336900.0
2000,2.5,3.0,2.0,1992,225000.0
1690,2.0,3.0,1.0,1969,270000.0
1300,1.75,3.0,1.5,1925,536000.0
2400,3.25,4.0,2.0,1982,585000.0
1150,2.0,2.0,1.0,1940,445000.0
2310,2.25,4.0,2.0,1980,320000.0
2730,3.5,4.0,2.0,2006,769900.0
2840,2.5,4.0,2.0,2012,557000.0
1020,1.5,2.0,2.0,2004,212000.0
1340,2.0,3.0,3.0,2008,376000.0
3540,3.25,4.0,2.0,2007,800000.0
998,2.25,3.0,2.0,2007,324000.0
3060,2.75,5.0,1.0,1979,549900.0
2130,2.5,3.0,2.0,2003,320000.0
2520,2.0,4.0,1.0,1921,875000.0
1940,1.0,4.0,1.0,1962,265000.0
1350,2.5,3.0,3.0,2006,394950.0
2160,2.5,4.0,2.5,1902,842500.0
1370,2.5,3.0,2.0,2007,368000.0
2830,2.5,4.0,2.0,1995,885000.0
2010,2.5,3.0,2.0,2014,453246.0
3300,2.75,4.0,2.0,1953,927000.0
1230,2.5,2.0,2.0,2004,490000.0
1720,1.5,3.0,1.5,1952,341000.0
810,1.0,1.0,1.0,1941,235000.0
2560,2.0,3.0,1.0,1986,560000.0
4700,3.25,4.0,2.0,1978,900000.0
1220,1.0,2.0,1.0,1910,255000.0
2170,3.25,3.0,1.5,1928,876650.0
2540,2.25,4.0,1.0,1990,540000.0
910,1.0,2.0,1.5,1906,350000.0
2980,2.5,4.0,2.0,2000,750000.0
2120,1.75,4.0,1.0,1951,582000.0
2480,3.0,5.0,1.0,2004,372500.0
2200,2.25,3.0,2.0,1987,410000.0
1730,2.0,4.0,1.0,1943,360000.0
2920,2.5,3.0,1.0,1954,1015000.0
990,1.0,3.0,1.0,1966,225000.0
3040,2.5,4.0,2.0,1999,647000.0
4530,3.0,5.0,1.5,2003,950000.0
1370,1.5,3.0,1.0,1961,185000.0
1940,2.5,3.0,2.0,2004,335000.0
1040,2.5,3.0,2.0,2004,210000.0
1800,2.25,4.0,1.0,1980,522000.0
1720,1.75,3.0,1.0,1954,770000.0
980,1.0,3.0,1.0,1941,499950.0
3110,2.5,4.0,2.0,2004,751000.0
2100,3.0,5.0,1.0,2013,330000.0
2020,1.5,3.0,1.0,1956,465000.0
2350,1.75,4.0,1.0,1961,850000.0
3290,2.25,4.0,1.5,1968,947500.0
2180,2.25,5.0,2.0,1986,302000.0
1290,2.25,2.0,3.0,2007,500000.0
1460,1.0,3.0,1.0,1969,201000.0
1290,1.0,2.0,2.0,2008,265000.0
2350,2.5,4.0,1.5,1910,870300.0
1080,1.0,3.0,1.0,1955,339000.0
2670,2.5,4.0,2.0,1989,690000.0
3680,3.25,4.0,2.0,2003,788000.0
1440,1.75,3.0,1.0,1951,315275.0
1940,1.75,4.0,1.0,1922,505000.0
1280,1.0,3.0,1.0,1968,368000.0
2980,2.75,3.0,1.5,1917,947500.0
970,1.0,3.0,1.0,1959,156000.0
2110,3.0,4.0,1.5,1930,610000.0
1480,2.5,2.0,3.0,2009,420000.0
700,1.0,2.0,1.0,1953,192000.0
2700,2.0,3.0,1.0,1962,910000.0
2600,2.75,4.0,1.5,1936,840000.0
1360,1.75,2.0,1.0,1975,300000.0
2780,2.5,4.0,1.0,1978,505000.0
1250,1.0,3.0,1.0,1945,110000.0
2620,2.5,3.0,2.0,1992,746000.0
1350,1.5,3.0,1.0,1941,211000.0
2400,3.0,4.0,1.0,1964,675000.0
2760,2.5,4.0,1.5,1928,734200.0
2040,1.75,2.0,1.5,1919,615000.0
1770,2.0,4.0,2.0,1911,630000.0
830,1.5,2.0,2.0,2005,301500.0
980,2.5,2.0,2.0,2009,369000.0
1570,2.5,3.0,3.0,2010,635000.0
3270,3.25,4.0,2.0,2014,1033888.0
2160,2.5,4.0,2.0,2010,383000.0
3280,3.75,4.0,2.0,2008,1050000.0
3360,2.5,4.0,2.0,2001,455000.0
3150,2.75,5.0,2.0,2013,819900.0
1810,3.5,3.0,2.0,2009,625000.0
2740,2.5,4.0,2.0,1993,651000.0
3830,4.75,5.0,1.0,1976,480000.0
3190,3.25,3.0,2.0,2007,757000.0
2350,2.25,3.0,1.0,1977,460000.0
2510,2.25,4.0,1.0,1972,267345.0
1680,2.0,2.0,1.0,2006,530000.0
1770,2.0,3.0,1.0,1954,449500.0
1090,1.0,3.0,1.0,1981,289000.0
3001,2.5,5.0,2.0,2006,373000.0
2450,3.0,5.0,2.0,1994,525000.0
3610,3.25,3.0,2.0,2003,777000.0
2250,2.0,4.0,1.0,1956,550000.0
1240,1.5,3.0,1.0,1957,523000.0
2260,2.0,4.0,1.0,1958,628000.0
2090,1.75,4.0,1.0,1963,581000.0
2020,1.75,5.0,1.0,1962,245000.0
1960,1.75,3.0,1.0,1911,415000.0
1250,1.5,3.0,1.0,1967,225000.0
1490,2.25,3.0,1.0,1987,287000.0
2890,3.0,6.0,2.5,1906,799200.0
1900,1.0,3.0,1.5,1942,239950.0
1680,1.75,3.0,1.0,1922,591000.0
2030,2.5,3.0,2.0,1975,700000.0
3740,2.5,4.0,1.0,2004,475000.0
1580,1.75,3.0,1.0,1951,575000.0
1780,2.25,3.0,1.5,1927,771000.0
910,1.0,2.0,1.0,1943,155000.0
3440,4.0,7.0,2.0,1970,550000.0
1740,2.5,3.0,2.0,1975,645000.0
3400,2.5,5.0,1.0,1959,464000.0
4400,3.25,4.0,2.0,2003,1050000.0
2010,2.5,3.0,2.0,1977,350000.0
2710,2.25,4.0,2.0,1977,591000.0
1310,1.5,3.0,1.0,1956,717000.0
1950,1.5,4.0,1.5,1939,225000.0
1040,1.0,3.0,1.0,1947,225000.0
1090,1.75,3.0,1.0,1968,345000.0
650,0.75,2.0,1.0,1931,230000.0
1480,2.0,3.0,1.0,1943,385000.0
790,1.0,2.0,1.0,1973,90000.0
3560,2.5,4.0,1.0,1986,860000.0
3000,2.5,4.0,2.0,2006,675000.0
3490,2.5,4.0,2.0,2000,975000.0
2340,1.75,3.0,1.0,1967,780000.0
1650,1.75,3.0,1.0,1951,370000.0
1940,2.0,3.0,1.5,1944,665000.0
3410,3.0,5.0,1.0,1968,675000.0
1710,1.0,3.0,1.5,1909,620000.0
2740,1.5,4.0,2.0,1905,1105000.0
1250,2.75,3.0,2.0,2010,450000.0
2450,2.25,3.0,1.0,1978,450000.0
1690,1.75,3.0,1.0,1958,530000.0
1950,1.75,4.0,1.0,1969,635000.0
2290,2.0,5.0,1.0,1964,580000.0
1090,1.0,3.0,1.0,1973,285000.0
1190,1.0,3.0,1.0,1953,375000.0
1440,1.0,3.0,2.0,1910,560000.0
2180,1.75,4.0,1.0,1956,405000.0
1410,1.0,4.0,1.0,1925,413000.0
1950,2.5,3.0,2.0,1990,287600.0
1660,1.0,3.0,1.0,1963,225000.0
1390,1.0,3.0,1.0,1968,319000.0
1350,2.0,3.0,1.0,1989,322500.0
1530,2.0,3.0,1.0,1937,570000.0
1270,1.5,3.0,1.0,1950,465000.0
2140,2.25,4.0,2.0,2002,435000.0
2040,2.5,4.0,2.0,2012,502000.0
2876,3.5,3.0,2.0,2007,525000.0
1580,2.5,3.0,2.0,2008,525000.0
3400,3.5,4.0,2.0,2012,660000.0
3520,2.5,4.0,2.5,2006,870000.0
2210,2.5,4.0,2.0,2013,650000.0
2790,2.5,4.0,2.0,2009,505000.0
1450,2.5,3.0,1.0,2007,330000.0
1620,1.75,4.0,1.0,1947,385000.0
1220,1.5,3.0,3.0,2007,306000.0
2000,1.75,3.0,1.0,1921,546000.0
2190,2.5,4.0,2.5,1958,925000.0
1900,1.75,4.0,1.0,1955,542000.0
1700,1.0,3.0,1.5,1906,800000.0
2540,2.5,5.0,2.0,1929,620000.0
1170,1.0,2.0,1.0,1911,175000.0
5774,5.0,5.0,1.0,1984,740000.0
2120,2.25,3.0,2.0,1984,345000.0
2170,1.75,3.0,1.0,1986,510000.0
2450,2.75,4.0,1.0,1974,530000.0
700,1.0,2.0,1.0,1952,155000.0
1780,2.5,3.0,1.0,1986,266000.0
1850,2.0,3.0,1.0,1952,257200.0
1570,2.0,3.0,1.0,1998,265000.0
1290,1.0,3.0,1.0,1951,372220.0
